"city","time_index","actual_pm25","predicted_pm25","error"
"Delhi",1,182.913,177.69052957356,5.22247042644003
"Delhi",2,169.914285714286,168.232590796248,1.68169491803789
"Delhi",3,105.9825,163.297324903184,57.3148249031835
"Delhi",4,170.451739130435,160.722043966319,9.72969516411572
"Delhi",5,163.129583333333,159.378231485395,3.75135184793814
"Delhi",6,182.6545,158.677014015085,23.9774859849152
"Delhi",7,226.172,158.311110328634,67.860889671366
"Delhi",8,227.856153846154,158.120177396374,69.7359764497797
"Delhi",9,230.79,158.02054630226,72.7694536977397
"Delhi",10,337.413333333333,157.968557602371,179.444775730963
"Delhi",11,227.355,157.941429275213,69.4135707247872
"Delhi",12,159.405,157.927273388723,1.47772661127695
"Delhi",13,278.846,157.919886677366,120.926113322634
"Delhi",14,167.001304347826,157.916032202784,9.08527214504252
"Delhi",15,228.97,157.914020891716,71.0559791082844
"Delhi",16,313.418,157.912971365476,155.505028634524
"Delhi",17,195.895,157.912423710097,37.9825762899031
"Delhi",18,354.38,157.912137936951,196.467862063049
"Delhi",19,287.530833333333,157.911988817096,129.618844516237
"Delhi",20,288.087142857143,157.911911004567,130.175231852576
"Delhi",21,221.901666666667,157.911870401056,63.9897962656102
"Delhi",22,226.08625,157.911849213657,68.1744007863425
"Delhi",23,213.019444444444,157.911838157819,55.1076062866259
"Delhi",24,205.872380952381,157.911832388749,47.9605485636317
"Delhi",25,203.450909090909,157.91182937838,45.5390797125294
"Delhi",26,204.971764705882,157.911827807533,47.0599368983497
"Delhi",27,179.072380952381,157.911826987846,21.1605539645351
"Delhi",28,299.73,157.911826560124,141.818173439877
"Delhi",29,258.023571428571,157.911826336933,100.111745091639
"Delhi",30,248.1925,157.911826220469,90.2806737795308
"Delhi",31,209.430416666667,157.911826159697,51.5185905069695
"Delhi",32,202.699523809524,157.911826127986,44.7876976815383
"Delhi",33,142.495,157.911826111438,15.416826111438
"Delhi",34,123.1525,157.911826102803,34.7593261028034
"Delhi",35,221.99,157.911826098298,64.0781739017023
"Delhi",36,240.050714285714,157.911826095947,82.1388881897678
"Delhi",37,325.603333333333,157.91182609472,167.691507238614
"Delhi",38,216.958,157.91182609408,59.0461739059205
"Delhi",39,191.322608695652,157.911826093745,33.4107826019067
"Delhi",40,137.505833333333,157.911826093571,20.4059927602378
"Delhi",41,149.400416666667,157.91182609348,8.51140942681354
"Delhi",42,259.1025,157.911826093433,101.190673906567
"Delhi",43,245.16,157.911826093408,87.248173906592
"Delhi",44,345.86,157.911826093395,187.948173906605
"Delhi",45,293.265454545455,157.911826093388,135.353628452066
"Delhi",46,244.29,157.911826093385,86.3781739066152
"Delhi",47,334.596666666667,157.911826093383,176.684840573284
"Delhi",48,291.599090909091,157.911826093382,133.687264815709
"Delhi",49,357.655,157.911826093381,199.743173906618
"Delhi",50,363.835,157.911826093381,205.923173906619
"Delhi",51,274.99,157.911826093381,117.078173906619
"Delhi",52,346.86,157.911826093381,188.948173906619
"Delhi",53,263.164,157.911826093381,105.252173906619
"Delhi",54,224.132,157.911826093381,66.220173906619
"Delhi",55,257.948260869565,157.911826093381,100.036434776184
"Delhi",56,255.062857142857,157.911826093381,97.1510310494762
"Mumbai",1,243.951428571429,231.58521293066,12.3662156407687
"Mumbai",2,236.082352941176,214.323985658414,21.7583672827629
"Mumbai",3,217.35,203.726950528851,13.6230494711494
"Mumbai",4,257.710526315789,199.209535861739,58.5009904540505
"Mumbai",5,216.82,197.81638355824,19.00361644176
"Mumbai",6,232.446842105263,197.592181264695,34.8546608405685
"Mumbai",7,206.976,197.665642947013,9.3103570529874
"Mumbai",8,190.073333333333,197.753503645307,7.68017031197354
"Mumbai",9,194.657272727273,197.802411439625,3.14513871235258
"Mumbai",10,194.607368421053,197.821912597537,3.21454417648462
"Mumbai",11,81.6429411764706,197.82740677903,116.18446560256
"Mumbai",12,42.6404545454545,197.828013752429,155.187559206974
"Mumbai",13,97.0178260869565,197.827531615058,100.809705528101
"Mumbai",14,88.45,197.82709713235,109.37709713235
"Mumbai",15,182.9175,197.826874822166,14.909374822166
"Mumbai",16,175.634210526316,197.82679195359,22.1925814272745
"Mumbai",17,212.424736842105,197.826770987691,14.5979658544142
"Mumbai",18,214.874,197.826770061282,17.0472299387178
"Mumbai",19,162.1925,197.826772865856,35.6342728658555
"Mumbai",20,114.304782608696,197.826774964967,83.5219923562718
"Mumbai",21,104.037,197.826775960866,93.7897759608659
"Mumbai",22,111.014285714286,197.826776306983,86.8124905926975
"Mumbai",23,143.922173913043,197.826776383472,53.9046024704289
"Mumbai",24,151.42,197.826776379651,46.4067763796512
"Mumbai",25,121.44625,197.826776364421,76.3805263644209
"Mumbai",26,130.987619047619,197.826776354477,66.8391573068582
"Mumbai",27,141.642631578947,197.826776350079,56.184144771132
"Mumbai",28,197.427368421053,197.826776348662,0.39940792760919
"Mumbai",29,216.492857142857,197.826776348401,18.6660807944562
"Mumbai",30,225.565,197.826776348453,27.7382236515469
"Mumbai",31,121.111666666667,197.826776348532,76.7151096818654
"Mumbai",32,107.719166666667,197.826776348578,90.1076096819117
"Mumbai",33,145.435,197.826776348597,52.3917763485975
"Mumbai",34,118.1635,197.826776348603,79.6632763486032
"Mumbai",35,145.468636363636,197.826776348604,52.3581399849676
"Mumbai",36,194.0325,197.826776348604,3.79427634860357
"Mumbai",37,216.224,197.826776348603,18.3972236513968
"Mumbai",38,277.18125,197.826776348603,79.354473651397
"Mumbai",39,159.4455,197.826776348603,38.3812763486029
"Mumbai",40,209.65,197.826776348603,11.8232236513971
"Mumbai",41,260.763333333333,197.826776348603,62.9365569847305
"Mumbai",42,300.239090909091,197.826776348603,102.412314560488
"Mumbai",43,303.4825,197.826776348603,105.655723651397
"Mumbai",44,301.585555555556,197.826776348603,103.758779206953
"Mumbai",45,305.88,197.826776348603,108.053223651397
"Mumbai",46,301.237857142857,197.826776348603,103.411080794254
"Mumbai",47,272.976470588235,197.826776348603,75.1496942396325
"Mumbai",48,233.838571428571,197.826776348603,36.0117950799686
"Mumbai",49,220.447727272727,197.826776348603,22.6209509241244
"Mumbai",50,243.9925,197.826776348603,46.1657236513971
"Mumbai",51,236.887727272727,197.826776348603,39.0609509241244
"Mumbai",52,166.287272727273,197.826776348603,31.5395036213301
"Mumbai",53,147.2675,197.826776348603,50.5592763486029
"Mumbai",54,151.093333333333,197.826776348603,46.7334430152695
"Mumbai",55,207.732105263158,197.826776348603,9.90532891455504
"Mumbai",56,121.81,197.826776348603,76.0167763486029
"Mumbai",57,128.969444444444,197.826776348603,68.8573319041584
"Mumbai",58,179.054545454545,197.826776348603,18.7722308940574
"Kolkata",1,179.807916666667,243.202203355496,63.3942866888294
"Kolkata",2,201.530526315789,236.64824496469,35.1177186489003
"Kolkata",3,203.22625,223.617733387625,20.3914833876254
"Kolkata",4,133.791111111111,216.184502141794,82.3933910306825
"Kolkata",5,55.52875,211.030041154944,155.501291154944
"Kolkata",6,46.6241666666667,208.279263381397,161.65509671473
"Kolkata",7,146.297916666667,206.776090387026,60.4781737203598
"Kolkata",8,160.404,206.051727557076,45.647727557076
"Kolkata",9,161.2425,205.713995343336,44.4714953433363
"Kolkata",10,173.8,205.573774452892,31.773774452892
"Kolkata",11,276.215454545455,205.521713873801,70.693740671654
"Kolkata",12,228.776666666667,205.507283279742,23.2693833869243
"Kolkata",13,247.491666666667,205.506400555816,41.9852661108505
"Kolkata",14,174.886842105263,205.509322936629,30.6224808313659
"Kolkata",15,132.308571428571,205.512410844868,73.2038394162963
"Kolkata",16,233.944,205.514699308058,28.4293006919416
"Kolkata",17,191.552,205.516150301987,13.9641503019866
"Kolkata",18,114.827222222222,205.516986482303,90.6897642600806
"Kolkata",19,190.556666666667,205.517433555475,14.9607668888083
"Kolkata",20,203.877647058824,205.517657120194,1.64001006137076
"Kolkata",21,157.322,205.517761367687,48.1957613676871
"Kolkata",22,186.9925,205.517806084969,18.5253060849689
"Kolkata",23,136.250416666667,205.517823098593,69.2674064319261
"Kolkata",24,70.75,205.517828264268,134.767828264268
"Kolkata",25,171.554761904762,205.517828942008,33.9630670372463
"Kolkata",26,200.035217391304,205.517828271185,5.48261087988067
"Kolkata",27,148.504166666667,205.517827435251,57.0136607685843
"Kolkata",28,190.877222222222,205.517826786138,14.6406045639162
"Kolkata",29,241.967222222222,205.517826363688,36.4493958585342
"Kolkata",30,219.558461538462,205.517826115973,14.0406354224886
"Kolkata",31,200.683333333333,205.517825981552,4.83449264821851
"Kolkata",32,297.15,205.517825913395,91.632174086605
"Kolkata",33,262.08,205.517825881121,56.5621741188789
