"time_index","actual_pm25","predicted_pm25","error"
1,131.331004366812,142.537042794929,11.2060384281163
2,125.889835390947,134.863844222369,8.97400883142217
3,118.779377593361,127.466952402897,8.68757480953613
4,114.844645669291,122.145111531108,7.30046586181655
5,111.169922178988,119.549454156467,8.37953197747865
6,121.101044176707,119.554743879998,1.54630029670886
7,117.43120754717,121.51561952077,4.08441197360069
8,137.19064,124.536896251113,12.6537437488867
9,124.810043103448,127.72377100868,2.91372790523215
10,132.849504132231,130.368952954332,2.48055117789892
11,122.044632034632,132.053988684237,10.0093566496052
12,100.341680672269,132.6650271155,32.323346443231
13,97.1833193277311,132.340992170406,35.1576728426753
14,103.004845814978,131.381782630303,28.376936815325
15,110.21867768595,130.14561416219,19.9269364762393
16,120.257126436782,128.959659002353,8.7025325655713
17,111.342857142857,128.059361573038,16.7165044301809
18,109.893056603774,127.561995728964,17.6689391251908
19,92.9203422053232,127.471489606662,34.5511474013385
20,78.9227450980392,127.705746283662,48.7830011856229
21,93.5482783882784,128.13516382625,34.5868854379713
22,114.280340909091,128.621521896781,14.3411809876899
23,117.699591078067,129.04901507152,11.3494239934531
24,99.9930072463768,129.34289551532,29.3498882689433
25,96.1318309859155,129.474904340835,33.3430733549198
26,99.0524460431655,129.457636426142,30.4051903829761
27,114.955907172996,129.331764298915,14.375857125919
28,127.41652,129.1505647717,1.73404477169991
29,120.398396946565,128.965652553935,8.56725560736994
30,143.451422594142,128.816603408349,14.6348191857934
31,145.492213438735,128.725670315314,16.7665431234212
32,136.919416666667,128.697432669337,8.22198399733009
33,137.13657480315,128.722227052341,8.41434775080862
34,126.132262773723,128.781703515901,2.64944074217831
35,141.376173285199,128.854818162356,12.5213551228421
36,170.398759689922,128.922901012881,41.4758586770414
37,182.800322580645,128.972969368044,53.8273532126009
38,180.422445652174,128.999029651571,51.4234160006031
39,164.158663967611,129.001595025547,35.1570689420647
40,161.953728813559,128.985962607873,32.9677662056864
41,170.69706122449,128.9599183911,41.7371428333893
42,167.643537735849,128.93149171728,38.7120460185688
43,156.230093457944,128.907216408472,27.3228770494721
44,139.015515463918,128.891136251496,10.1243792124216
45,148.926862745098,128.884577919569,20.0422848255294
46,182.84875,128.88654825778,53.9622017422204
47,185.664504950495,128.894517865219,56.7699870852756
48,198.401321585903,128.905331263285,69.4959903226182
49,167.877826086957,128.916021959821,38.9618041271354
50,163.509321266968,128.924385641196,34.5849356257725
51,153.658117154812,128.929251725176,24.7288654296355
52,135.103031674208,128.930471401153,6.17256027305561
53,128.93275862069,128.928695049095,0.00406357159479853
54,108.16326848249,128.925037859127,20.7617693766371
55,131.824170854271,128.920731308317,2.90343954595446
56,143.465272727273,128.916836861219,14.5484358660532
57,149.505660377358,128.914066293001,20.5915940843571
58,162.432278481013,128.912719722153,33.5195587588593
